a;НАЗВАНИЕ;Производитель;ЦЕНА;Цена со скидкой;ЦЕНА 2;Цена со скидкой 2;КОЛИЧЕСТВО В УПАКОВКЕ;КАТЕГОРИЯ;ПОДКАТЕГОРИЯ;% СКИДКИ;ХИТ;невидимость товара;Количество общее;Резерв;СвободныйОстаток;Новинка
00000017709;2134В G379380 набор рыбалка;;154,17;154,17;154,17;;;Прочее;Прочие товары;;;;;;;
00000017431;239SA Самолет инерц Соник Файтер со звуком и свето;;145,8;145,8;145,8;;96;Прочее;Прочие товары;;;;;;;
00000013217;2500WDKT Машинки инерционные 8 шт. в ассорт.;;42,08;42,08;42,08;;;Прочее;Прочие товары;;;;;;;
00000017441;252SA Самолет инерц Соник Вариор со звуком и свето;;145,62;145,62;145,62;;;Прочее;Прочие товары;;;;;;;
00000005985;Пластилин мягкий 10 цветов 12С 875-08;;44,1;44,1;44,1;;;Прочее;Прочие товары;;;;;;;
00000005984;Пластилин Люкс 12цв ,210гр 14с1035-08;;54,06;54,06;54,06;;;Прочее;Прочие товары;;;;;;;
00000005983;Пластилин Люкс 10 цв 14С 1034-08;;48,84;48,84;48,84;;;Прочее;Прочие товары;;;;;;;
00000005982;Пластилин Детство 8цв.,160гр 12с867-08;;25,9;25,9;25,9;;;Прочее;Прочие товары;;;;;;;
00000005981;Пластилин Детство 7 цв 6С 214-08;;21,62;21,62;21,62;;;Прочее;Прочие товары;;;;;;;
00000005980;Пластилин Детство 6 цв.,120гр 12с878-08;;21,42;21,42;21,42;;;Прочее;Прочие товары;;;;;;;
00000005979;Пластилин Детство 5 цв 7С 248-08;;17,04;17,04;17,04;;;Прочее;Прочие товары;;;;;;;
00000005978;Пластилин Детство 12цв.,240гр 7с331-08;;36,28;36,28;36,28;;;Прочее;Прочие товары;;;;;;;
00000005977;Пластилин Аквариум 15цв+вкл трафар. 15с1064-08;;47,32;47,32;47,32;;;Прочее;Прочие товары;;;;;;;
00000005976;Пластилин Аквариум 12цв 15с1063-08;;40,28;40,28;40,28;;;Прочее;Прочие товары;;;;;;;
00000005973;Н-р №2 для рисован и лепки (траф6+кар6+плас5+бук);;105,45;105,45;105,45;;;Прочее;Прочие товары;;;;;;;
00000005968;Акварель Радуга 14цв. с кистью  8с379-08;;53,72;53,72;53,72;;;Прочее;Прочие товары;;;;;;;
00000005967;Акварель Медок 12цв. с кистью 8с387-08;;32,6;32,6;32,6;;;Прочее;Прочие товары;;;;;;;
